Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Verilog Code Generation of Hierarchical Design Using LLMs,G. Chang; S. Zhang; S. Kim; W. Kim; Y. Shin,"School of Electrical Engineering, KAIST, Daejeon, Korea; School of Electrical Engineering, KAIST, Daejeon, Korea; School of Electrical Engineering, KAIST, Daejeon, Korea; School of Electrical Engineering, KAIST, Daejeon, Korea; School of Electrical Engineering, KAIST, Daejeon, Korea",2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),9 Oct 2025,2025,,,1,7,"Creating RTL hierarchy and generating module-by-module Verilog code, both through a large language model (LLM), are presented. (1) For RTL hierarchy, LLM is prompted to identify a list of sub-modules, given the header and function description of a top-module. The sub-hierarchy is then iteratively constructed in a top-down fashion, while the sub-modules’ headers and function descriptions are created and refined. (2) Verilog code is generated in bottom-up fashion. Test scenarios are compiled and used to generate Verilog testbenches, identify reference module output signals, and generate Verilog code. The Verilog simulator receives all three and performs compilation and functional simulation. Any compilation- or functional-errors trigger the LLM to refine the Verilog code, with error messages provided.Experimental results show that our approach can create accurate RTL hierarchies more often than a single LLM prompting does (6 vs 0 out of 10 trials), while more sub-modules are identified (12.6 vs 6.4 on average). The correct Verilog code is generated even for a complex example such as AES with the proposed code generation procedure.",,979-8-3315-3762-3,10.1109/MLCAD65511.2025.11189211,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189211,Large language model;Verilog code generation,Codes;Accuracy;Large language models;Circuits;Machine learning;Systolic arrays;Iterative methods;Hardware design languages;Integrated circuit reliability,,,,16.0,IEEE,9 Oct 2025,,,IEEE,IEEE Conferences
HaVen: Hallucination-Mitigated LLM for Verilog Code Generation Aligned with HDL Engineers,Y. Yang; F. Teng; P. Liu; M. Qi; C. Lv; J. Li; X. Zhang; Z. He,"School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Software Technology, Zhejiang University, Ningbo, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Independent Researcher; School of Software Technology, Zhejiang University, Ningbo, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China","2025 Design, Automation & Test in Europe Conference (DATE)",21 May 2025,2025,,,1,7,"Recently, the use of large language models (LLMs) for Verilog code generation has attracted great research interest to enable hardware design automation. However, previous works have shown a gap between the ability of LLMs and the practical demands of hardware description language (HDL) engineering. This gap includes differences in how engineers phrase questions and hallucinations in the code generated. To address these chal-lenges, we introduce Haven, a novel LLM framework designed to mitigate hallucinations and align Verilog code generation with the practices of HDL engineers. Haven tackles hallucination issues by proposing a comprehensive taxonomy and employing a chain-of-thought (CoT) mechanism to translate symbolic modalities (e.g. truth tables, state diagrams, etc.) into accurate natural language descriptions. Furthermore, Haven bridges this gap by using a data augmentation strategy. It synthesizes high-quality instruction-code pairs that match real HDL engineering practices. Our experiments demonstrate that Haven significantly improves the correctness of Verilog code generation, outperforming state-of-the-art LLM-based Verilog generation methods on VerilogEval and RTLLM benchmark. Haven is publicly available at https://github.com/Intelli2ent-Computing-Research-Group/HaVen.",1558-1101,978-3-9826741-0-0,10.23919/DATE64628.2025.10993072,National Key R&D Program of China(grant numbers:2022YFB4500200); National Natural Science Foundation of China(grant numbers:62102257); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10993072,Verilog Code Generation;LLM,Bridges;Codes;Translation;Design automation;Large language models;Taxonomy;Europe;Data augmentation;Hardware;Hardware design languages,,8.0,,34.0,,21 May 2025,,,IEEE,IEEE Conferences
FormalEval: A Method for Automatic Evaluation of Code Generation via Large Language Models,S. Yang; Y. Yang,"X-Epic Ltd., Chengdu, China; X-Epic Ltd., Chengdu, China",2024 2nd International Symposium of Electronics Design Automation (ISEDA),8 Aug 2024,2024,,,660,665,"One of the promising applications of Large Language Models (LLMs) is code generation. However, evaluating the quality of the generated code poses a significant challenge. Existing evaluation methods such as Rouge or HumanEval have limitations in terms of accuracy or efficiency. In this paper, we propose a formal evaluation method called FormalEval, which automates the process of checking generated code without the need for manual test case curation. We evaluated our method on common tasks related to Register-Transistor-Level (RTL) Verilog and SystemVerilog Assertions (SVA) generation in the field of Electronic Design Automation (EDA). Our method not only identifies 23 % of evaluation error in existing RTL benchmarking dataset, but also fixes the error via test case augmentation. We show FormalEval can help to identify better LLM prompting techniques on SVA generation task. Our method demonstrates state-of-the-art accuracy on the testing dataset.",,979-8-3503-5203-0,10.1109/ISEDA62518.2024.10617643,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10617643,LLM;Code Generation;Formal;Evaluation Metric;RTL;SVA,Training;Codes;Accuracy;Design automation;Large language models;Scalability;Manuals,,3.0,,14.0,IEEE,8 Aug 2024,,,IEEE,IEEE Conferences
VHDL-Eval: A Framework for Evaluating Large Language Models in VHDL Code Generation,P. Vijayaraghavan; L. Shi; S. Ambrogio; C. Mackin; A. Nitsure; D. Beymer; E. Degan,"IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,6,"With the unprecedented advancements in Large Language Models (LLMs), their application domains have expanded to include code generation tasks across various programming languages. While significant progress has been made in enhancing LLMs for popular programming languages, there exists a notable gap in comprehensive evaluation frameworks tailored for Hardware Description Languages (HDLs), particularly VHDL. This paper addresses this gap by introducing a comprehensive evaluation framework designed specifically for assessing LLM performance in VHDL code generation task. We construct a dataset for evaluating LLMs on VHDL code generation task. This dataset is constructed by translating a collection of Verilog evaluation problems to VHDL and aggregating publicly available VHDL problems, resulting in a total of 202 problems. To assess the functional correctness of the generated VHDL code, we utilize a curated set of self-verifying testbenches specifically designed for those aggregated VHDL problem set. We conduct an initial evaluation of different LLMs and their variants, including zero-shot code generation, in-context learning (ICL), and Parameter-efficient fine-tuning (PEFT) methods. Our findings underscore the considerable challenges faced by existing LLMs in VHDL code generation, revealing significant scope for improvement. This study emphasizes the necessity of supervised fine-tuning code generation models specifically for VHDL, offering potential benefits to VHDL designers seeking efficient code generation solutions.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691836,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691836,LLMs;large language models;VHDL Code generation;VHDL Evaluation;hardware design automation;Hardware Description Languages;HDL;PEFT;ICL,VHDL;Codes;Design automation;Large language models;Conferences;Hardware,,10.0,,22.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
VerilogReader: LLM-Aided Hardware Test Generation,R. Ma; Y. Yang; Z. Liu; J. Zhang; M. Li; J. Huang; G. Luo,"School of Computer Science, Peking University; School of Computer Science, Peking University; School of Information, Renmin University of China; School of Computer Science, Peking University; Noah’s Ark Lab, Huawei; Noah’s Ark Lab, Huawei; School of Computer Science, Peking University",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"Test generation has been a critical and labor-intensive process in hardware design verification. Recently, the emergence of Large Language Model (LLM) with their advanced understanding and inference capabilities, has introduced a novel approach. In this work, we investigate the integration of LLM into the Coverage Directed Test Generation (CDG) process, where the LLM functions as a Verilog Reader. It accurately grasps the code logic, thereby generating stimuli that can reach unexplored code branches. We compare our framework with random testing, using our self-designed Verilog benchmark suite. Experiments demonstrate that our framework outperforms random testing on designs within the LLM’s comprehension scope. Our work also proposes prompt engineering optimizations to augment LLM’s understanding scope and accuracy.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691801,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691801,Automatic Test Generation;LLM;Verilog,Codes;Large language models;Conferences;Benchmark testing;Hardware;Test pattern generators;Prompt engineering;Logic;Hardware design languages;Optimization,,15.0,,19.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
RTL-Repo: A Benchmark for Evaluating LLMs on Large-Scale RTL Design Projects,A. Allam; M. Shalan,"Department of Computer Science and Engineering, The American University in Cairo, Cairo, Egypt; Department of Computer Science and Engineering, The American University in Cairo, Cairo, Egypt",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"Large Language Models (LLMs) have demonstrated potential in assisting with Register Transfer Level (RTL) design tasks. Nevertheless, there remains to be a significant gap in benchmarks that accurately reflect the complexity of real-world RTL projects. To address this, this paper presents RTL-Repo, a benchmark specifically designed to evaluate LLMs on large-scale RTL design projects. RTL-Repo includes a comprehensive dataset of more than 4000 Verilog code samples extracted from public GitHub repositories, with each sample providing the full context of the corresponding repository. We evaluate several state-of-the-art models on the RTL-Repo benchmark, including GPT-4, GPT-3.5, Starcoder2, alongside Verilog-specific models like VeriGen and RTLCoder, and compare their performance in generating Verilog code for complex projects. The RTL-Repo benchmark provides a valuable resource for the hardware design community to assess and compare LLMs’ performance in real-world RTL design scenarios and train LLMs specifically for Verilog code generation in complex, multi-file RTL projects. RTL-Repo is open-source and publicly available on Github1.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691810,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691810,LLM-Aided Hardware Design;Verilog Code Generation;RTL Design Automation;Benchmarking Large Language Models,Codes;Design automation;Large language models;Conferences;Benchmark testing;Hardware;Registers;Complexity theory;Hardware design languages;Software development management,,12.0,,15.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
MG-Verilog: Multi-grained Dataset Towards Enhanced LLM-assisted Verilog Generation,Y. Zhang; Z. Yu; Y. Fu; C. Wan; Y. C. Lin,"Georgia Institute of Technology, Atlanta, Gerogia, USA; Georgia Institute of Technology, Atlanta, Gerogia, USA; Georgia Institute of Technology, Atlanta, Gerogia, USA; Georgia Institute of Technology, Atlanta, Gerogia, USA; Georgia Institute of Technology, Atlanta, Gerogia, USA",2024 IEEE LLM Aided Design Workshop (LAD),1 Oct 2024,2024,,,1,5,"Large Language Models (LLMs) have recently shown promise in streamlining hardware design processes by encapsulating vast amounts of domain-specific data. In addition, they allow users to interact with the design processes through natural language instructions, thus making hardware design more accessible to developers. However, effectively leveraging LLMs in hardware design necessitates providing domain-specific data during inference (e.g., through in-context learning), finetuning, or pre-training. Unfortunately, existing publicly available hardware datasets are often limited in size, complexity, or detail, which hinders the effectiveness of LLMs in hardware design tasks. To address this issue, we first propose a set of criteria for creating high-quality hardware datasets that can effectively enhance LLM-assisted hardware design. Based on these criteria, we propose a Multi-Grained-Verilog (MG-Verilog) dataset, which encompasses descriptions at various levels of detail and corresponding code samples. To benefit the broader hardware design community, we have developed an open-source infrastructure that facilitates easy access, integration, and extension of the dataset to meet specific project needs. Furthermore, to fully exploit the potential of the MG-Verilog dataset, which varies in complexity and detail, we introduce a balanced fine-tuning scheme. This scheme serves as a unique use case to leverage the diverse levels of detail provided by the dataset. Extensive experiments demonstrate that the proposed dataset and finetuning scheme consistently improve the performance of LLMs in hardware design tasks.",,979-8-3503-7608-1,10.1109/LAD62341.2024.10691738,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691738,,Codes;Large language models;Conferences;Natural languages;Hardware;Complexity theory;Hardware design languages,,28.0,,17.0,IEEE,1 Oct 2024,,,IEEE,IEEE Conferences
"LLM-VeriPPA: Power, Performance, and Area Optimization aware Verilog Code Generation with Large Language Models",K. Thorat; J. Zhao; Y. Liu; A. Hasan; H. Peng; X. Xie; B. Lei; C. Ding,University of Connecticut; University of Connecticut; Arizona State University; University of Connecticut; University of Connecticut; University of Connecticut; University of Minnesota; University of Minnesota,2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),9 Oct 2025,2025,,,1,7,"Large Language Models (LLMs) are gaining prominence in various fields, thanks to their ability to generate high-quality content from human instructions. This paper delves into the field of chip design using LLMs, specifically in Power-Performance-Area (PPA) optimization and the generation of accurate Verilog codes for circuit designs. We introduce a novel framework VeriPPA designed to optimize PPA and generate Verilog code using LLMs. Our method includes a two-stage process where the first stage focuses on improving the functional and syntactic correctness of the generated Verilog codes, while the second stage focuses on optimizing the Verilog codes to meet PPA constraints of circuit designs, a crucial element of chip design. Our framework achieves an 81.37% success rate in syntactic correctness and 62.06% in functional correctness for code generation, outperforming current state-of-the-art (SOTA) methods. On the RTLLM dataset. On the VerilogEval dataset, our framework achieves 99.56% syntactic correctness and 43.79% functional correctness, also surpassing SOTA, which stands at 92.11% for syntactic correctness and 33.57% for functional correctness. Furthermore, Our framework able to optimize the PPA of the designs. These results highlight the potential of LLMs in handling complex technical areas and indicate an encouraging development in the automation of chip design processes. Our source codes are here. 1",,979-8-3315-3762-3,10.1109/MLCAD65511.2025.11189158,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189158,,Codes;Accuracy;Large language models;Source coding;Machine learning;Syntactics;Circuit synthesis;Hardware design languages;Chip scale packaging;Optimization,,,,39.0,IEEE,9 Oct 2025,,,IEEE,IEEE Conferences
RTL++: Graph-enhanced LLM for RTL Code Generation,M. Akyash; K. Azar; H. Kamali,"Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA",2025 IEEE International Conference on LLM-Aided Design (ICLAD),13 Aug 2025,2025,,,44,50,"As hardware design complexity escalates, there is an urgent need for advanced automation in electronic design automation (EDA). Traditional register transfer level (RTL) design methods are manual, time-consuming, and prone to errors. While commercial (instruction-tuned) large language models (LLMs) shows promising performance for automation, they pose security and privacy concerns. Open-source models offer alternatives; however, they frequently fall short in quality/correctness, largely due to limited, high-quality RTL code data essential for effective training and generalization. This paper proposes RTL++, a first-of-its-kind LLM-assisted method for RTL code generation that utilizes graph representations of code structures to enhance the quality of generated code. By encoding RTL code into a textualized control flowgraphs (CFG) and data flow graphs (DFG), RTL++ captures the inherent hierarchy, dependencies, and relationships within the code. This structured graph-based approach enhances the context available to LLMs, enabling them to better understand and generate instructions. By focusing on data generation through graph representations, RTL++ addresses the limitations of previous approaches that rely solely on code and suffer from lack of diversity. Experimental results demonstrate that RTL++ outperforms state-of-the-art models fine-tuned for RTL generation, as evaluated using the VerilogEval benchmark’s P ass@1/5/10 metric, as well as the RTLLM1.1 model, which highlight the effectiveness of graph-enhanced context in advancing the capabilities of LLM-assisted RTL code generation1.",,979-8-3315-2597-2,10.1109/ICLAD65226.2025.00020,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11106035,LLM;RTL Code Generation;Verilog;Graph,Training;Measurement;Privacy;Codes;Automation;Benchmark testing;Register transfer level;Security;Hardware design languages;Context modeling,,3.0,,42.0,IEEE,13 Aug 2025,,,IEEE,IEEE Conferences
AskIt: Unified Programming Interface for Programming with Large Language Models,K. Okuda; S. Amarasinghe,"CSAIL, MIT, Cambridge, USA; CSAIL, MIT, Cambridge, USA",2024 IEEE/ACM International Symposium on Code Generation and Optimization (CGO),28 Feb 2024,2024,,,41,54,"Large Language Models (LLMs) exhibit a unique phenomenon known as emergent abilities, demonstrating adeptness across numerous tasks, from text summarization to code generation. While these abilities open up novel avenues in software design and crafting, their incorporation presents substantial challenges. Developers face decisions regarding the use of LLMs for directly performing tasks within applications as well as for generating and executing code to accomplish these tasks. Moreover, effective prompt design becomes a critical concern, given the necessity of extracting data from natural language outputs. To address these complexities, this paper introduces AskIt, a domain-specific language (DSL) specifically designed for LLMs. AskIt simplifies LLM integration by providing a unified interface that not only allows for direct task execution using LLMs but also supports the entire cycle of code generation and execution. This dual capability is achieved through (1) type-guided output control, (2) template-based function definitions, and (3) prompt generation for both usage modes. Our evaluations underscore AskIt's effectiveness. Across 50 tasks, AskIt generated concise prompts, achieving a 16.14 % reduction in prompt length compared to benchmarks. Additionally, by enabling a seamless transition between using LLMs directly in applications and for generating code, AskIt achieved significant efficiency improvements, as observed in our GSM8K benchmark experiments. The implementations of AskIt in TypeScript and Python are available at https://github.com/katsumiok/ts-askit and https://github.com/katsumiok/pyaskit, respectively.",2643-2838,979-8-3503-9509-9,10.1109/CGO57630.2024.10444830,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10444830,domain specific language;code generation;large language model;software engineering;artificial intelligence,Codes;Programming;Benchmark testing;DSL;Task analysis;Python;Domain specific languages,,3.0,,28.0,IEEE,28 Feb 2024,,,IEEE,IEEE Conferences
