Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ren, L.; Wang, H.; Dong, J.; Wang, H.; Liu, S.; Laili, Y.; Zhang, L.","Ren, Lei (35766729200); Wang, Haotian (58466108700); Dong, Jiabao (57222170369); Wang, Haiteng (58170047100); Liu, Shuai (59350923300); Laili, Yuanjun (35220331000); Zhang, Lin (56031107200)",35766729200; 58466108700; 57222170369; 58170047100; 59350923300; 35220331000; 56031107200,MetaIndux-PLC: A Control Logic-Guided LLM for PLC code generation in industrial control systems,2025,Applied Soft Computing,184,,113673,,,0,0,10.1016/j.asoc.2025.113673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013272007&doi=10.1016%2Fj.asoc.2025.113673&partnerID=40&md5=cff58ca3a3cc43a8e2ecfd8235c4339d,"Programmable Logic Controllers (PLCs) are widely used for automation control, and they are well-suited for industrial systems control tasks. LLMs can assist engineers in streamlining the programming process and reducing development costs, and one of the key issues is the construction of the PLC code dataset. However, the lack of an open-source PLC code dataset in the research community, combined with the high complexity of industrial systems control logic, has caused most LLMs to struggle with generating accurate control code. This complexity arises from the need to manage real-time sensor data fusion, integrate various communication protocols, and ensure compliance with stringent safety and regulatory standards. In this study, we construct ST4Indux, a PLC code dataset specifically for industrial systems control. And we propose the Control Logic-Guided Iterative Fine-Tuning (CLIFT) method, which iteratively optimizes the model's generation capability. Based on these, we train a large language model named MetaIndux-PLC, to enable the generation of complex motion control code. Additionally, we propose a multi-dimensional evaluation and optimization method to systematically assess the model's performance in terms of task completion quality, efficiency, and user experience. The experimental results demonstrate that the proposed approach significantly enhances MetaIndux-PLC's performance and reliability in real-world engineering environments, providing a foundation for the future development of intelligent programming assistance systems. © 2025 Elsevier B.V., All rights reserved.",Code generation; Industrial LLM; Industrial systems control; Programmable logic controller; Structured text,Article,Final,,Scopus,2-s2.0-105013272007
"Malamas, N.; Tsardoulias, E.; Panayiotou, K.; Symeonidis, A.L.","Malamas, Nikolaos (57292042900); Tsardoulias, Emmanouil G. (55005984400); Panayiotou, Konstantinos L. (57191966775); Symeonidis, Andreas L. (7004087388)",57292042900; 55005984400; 57191966775; 7004087388,Toward efficient vibe coding: An LLM-based agent for low-code software development,2025,Journal of Computer Languages,85,,101367,,,0,0,10.1016/j.cola.2025.101367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017008340&doi=10.1016%2Fj.cola.2025.101367&partnerID=40&md5=2708d1ad73815a4b1a79b429fcb1245a,"The Software Engineering (SE) domain increasingly adopts low-code and no-code approaches to simplify application development and deployment. Two dominant paradigms have emerged in this space: Model-driven Engineering (MDE), leveraging Domain-specific Languages (DSLs) to abstract implementation and reduce the knowledge and expertise required, and LLM-based vibe coding, where developers interact with Large Language Models (LLMs) using natural language, allowing for rapid prototyping and code generation through conversations. Although DSLs provide precise abstractions and formal correctness, they often require specialized knowledge and have a steep learning curve. Conversely, vibe coding enables fluid and natural interactions, but struggles with domain specificity and frequently produces erroneous or unstructured code, which is difficult to integrate into formal development workflows. To harness the strengths of both paradigms, we present DSL Agent, an LLM-powered conversational interface for DSL-based application development. The DSL Agent is embedded within Locsys, a modern low-code development platform. It combines the flexibility and intuitiveness of LLM-based vibe coding with the rigor of DSLs by dynamically generating accurate and valid DSL models based on user descriptions, embedded into a unified conversational interface that leverages prompt engineering and in-context learning techniques. This offers a simpler and more intuitive interface, accelerates the development process, and reduces the expertise barrier. The agent is evaluated by more than 130 workshop participants of varying expertise levels, on two DSLs of different complexity. Evaluation metrics, including valid model rate, user satisfaction, and development time, indicate a significant improvement in valid model generation, productivity, and ease of use compared to traditional DSL-based SE workflows. These results highlight the potential of the DSL Agent to improve the entire DSL-based development life cycle by offering an efficient, intuitive, and user-friendly interface. © 2025 Elsevier B.V., All rights reserved.",Conversational interfaces; Conversational low-code development; DSL agent; DSLs; Large Language Models; Vibe coding,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105017008340
"Dumitru, M.-V.; Badoiu, V.-A.; Gherghescu, A.M.; Raiciu, C.","Dumitru, Mihai Valentin (57215870954); Badoiu, Vlad Andrei (57223235200); Gherghescu, Alexandru M. (59253262500); Raiciu, Costin (16307632000)",57215870954; 57223235200; 59253262500; 16307632000,Generating P4 data planes using LLMs,2025,Computer Networks,272,,111709,,,0,0,10.1016/j.comnet.2025.111709,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016684629&doi=10.1016%2Fj.comnet.2025.111709&partnerID=40&md5=321868368c25013d02ca2ed440889272,"Over the past few years, Large Language Models (LLMs) have become the source of impressive results in code generation. However, most research focuses on widely adopted general-purpose programming languages, with little attention given to niche domain-specific languages (DSLs). This raises the question: do DSLs, such as P4, a data plane programming language, have a place in the LLM world? The potential impact of generating DSL code could be tremendous. Automatically generating data plane code promises flexible networks that can quickly adapt to specific conditions at the lowest level. P4 is structurally simpler than general-purpose languages, but also offers a much smaller corpus of existing programs, thus setting up interesting challenges for deep-learning based code generation. In this paper, we show that crafting a highly specialized P4 dataset with domain knowledge is sufficient to bootstrap P4 code generation through fine-tuning existing LLMs, even when they have not encountered P4 code during pre-training. We further document the process of creating a relevant benchmark to assess the proficiency of fine-tuned models in generating P4 code. Our evaluation shows that our fine-tuned models outperform much larger models in both syntactic correctness and semantic alignment. © 2025 Elsevier B.V., All rights reserved.",Code generation; LLM; P4; Programmable data planes,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105016684629
"Li, C.; Chen, C.; Pan, Y.; Xu, W.; Liu, Y.; Chang, K.; Wang, Y.; Wang, M.; Li, H.; Han, Y.; Wang, Y.","Li, Cangyuan (57226493418); Chen, Chujie (60077723100); Pan, Yudong (58962659600); Xu, Wenjun (60166672200); Liu, Yiqi (58189376200); Chang, Kaiyan (57219732485); Wang, Yujie (57219662533); Wang, Mengdi (57220960996); Li, Huawei (59065798600); Han, Yinhe (8577299100); Wang, Ying (56104472600)",57226493418; 60077723100; 58962659600; 60166672200; 58189376200; 57219732485; 57219662533; 57220960996; 59065798600; 8577299100; 56104472600,AutoSilicon: Scaling Up RTL Design Generation Capability of Large Language Models,2025,ACM Transactions on Design Automation of Electronic Systems,30,6,97,,,0,0,10.1145/3737286,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020568733&doi=10.1145%2F3737286&partnerID=40&md5=351023e1ffb0b7cdf0ce923ea97cd536,"Hardware description language (HDL) code designing is a critical component of the chip design process, requiring substantial engineering and time resources. Recent advancements in large language models (LLMs), such as GPT series, have shown promise in automating HDL code generation. However, current LLM-based approaches face significant challenges in meeting real-world hardware design requirements, particularly in handling complex designs and ensuring code correctness. Our evaluations reveal that the functional correctness rate of LLM-generated HDL code significantly decreases as design complexity increases. In this article, we propose the AutoSilicon framework, which aims to scale up the hardware design capability of LLMs. AutoSilicon incorporates an agent system, which (1) allows for the decomposition of large-scale, complex code design tasks into smaller, simpler tasks; (2) provides a compilation and simulation environment that enables LLMs to compile and test each piece of code it generates; and (3) introduces a series of optimization strategies. Experimental results demonstrate that AutoSilicon can scale hardware designs to projects with code equivalent to over 10,000 tokens. In terms of design quality, it further improves the syntax correctness rate and functional correctness rate compared with approaches that do not employ any extensions. For example, compared to directly generating HDL code using GPT-4-turbo, AutoSilicon enhances the syntax correctness rate by an average of 35.8% and improves functional correctness by an average of 35.6%. © 2025 Elsevier B.V., All rights reserved.",agent; LLM; verilog; Verilog code generation,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020568733
"Chang, K.; Zhu, W.; Wang, K.; He, X.; Yang, N.; Chen, Z.; Jin, D.; Li, C.; Zhou, Y.; Yan, H.; Zhao, Z.; Cheng, Y.; Wang, M.; Liang, S.; Han, Y.; Li, X.; Li, H.; Wang, Y.","Chang, Kaiyan (57219732485); Zhu, Wenlong (58962790600); Wang, Kun (58962842600); He, Xinyang (58235876000); Yang, Nan (58962842700); Chen, Zhirong (58962685000); Jin, Dantong (59007190900); Li, Cangyuan (57226493418); Zhou, Yunhao (58962765500); Yan, Hao (58962659500); Zhao, Zhuoliang (58128012400); Cheng, Yuan (59459568400); Wang, Mengdi (57220960996); Liang, Shengwen (57209461165); Han, Yinhe (8577299100); Li, Xiaowei (56103276300); Li, Huawei (59065798600); Wang, Ying (56104472600)",57219732485; 58962790600; 58962842600; 58235876000; 58962842700; 58962685000; 59007190900; 57226493418; 58962765500; 58962659500; 58128012400; 59459568400; 57220960996; 57209461165; 8577299100; 56103276300; 59065798600; 56104472600,A data-centric chip design agent framework for Verilog code generation,2025,ACM Transactions on Design Automation of Electronic Systems,30,6,ART93,,,0,1,10.1145/3727980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020677382&doi=10.1145%2F3727980&partnerID=40&md5=6e8d3d219f3e85f313de203679c9c2e3,"Recent advances in large language models (LLMs) have demonstrated significant potential for automated hardware description language (HDL) code generation from high-level specifications. However, two critical challenges limit further progress in this domain: the scarcity of quality Verilog training data and the inability of current approaches to generate RTL code optimized for power, performance, and area (PPA) metrics. This article presents a comprehensive data-centric framework that addresses these limitations through innovations in both pre-fine-tuning data preparation and after-fine-tuning optimization strategies. In the prefine-tuning phase, we tackle the data scarcity problem with an automated design-data augmentation framework that generates high-volume, high-quality natural language specifications aligned with corresponding Verilog code and EDA scripts. Our approach creates a complete RTL-level feedback loop by augmenting EDA scripts, RTL code, and EDA tool feedback. In the after-fine-tuning phase, we focus on generating PPA-aware RTL code through a novel search and prompt framework. Our approach implements iterative filtering and selection of LLM-generated Verilog variants while providing high-quality predefined prompts, including composition and interface specifications. To evaluate the effectiveness of our data augmentation method, we fine-tune Llama 2-13B and Llama 2-7B models using the dataset generated by our augmentation framework. The results demonstrate a significant improvement in the Verilog generation tasks with LLMs. Moreover, the accuracy of Verilog generation surpasses that of the current state-of-the-art open-source Verilog generation model, increasing from 58.8% to 70.6% with the same benchmark. Our 13B model has a pass rate improvement compared with GPT-3.5 in Verilog generation and outperforms in EDA script (i.e., SiliconCompiler) generation with only 200 EDA script data. Additionally, to evaluate the effectiveness of the our agent framework, we compare the PPA on the GPT-3.5, where the results show that the agent refined RTL code can have a better quality than the generated RTL code only with GPT-3.5. © 2025 Elsevier B.V., All rights reserved.",data augmentation; hardware generation; Large language model,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020677382
"Ahmed, A.; Azab, S.; Moussa, S.M.; Abdelhamid, Y.","Ahmed, Areeg (58781267600); Azab, Shahira Shaaban (36098989700); Moussa, Sherin M. (35759116600); Abdelhamid, Yasser (57189052276)",58781267600; 36098989700; 35759116600; 57189052276,ViT-DtC: vision transformer-based design-to-code framework for code generation from generated UI designs and hand-drawn sketches,2025,Neural Computing and Applications,37,29,,24243,24264,0,0,10.1007/s00521-025-11565-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015364191&doi=10.1007%2Fs00521-025-11565-z&partnerID=40&md5=0d932177c92b09609d74dec663b3cfec,"Code generation in software development from various types of user interface (UI) design images can significantly reduce the manual effort required, accelerate development timelines, and facilitate collaboration between designers and developers. Previous studies have restricted the utilized types of UI designs to either generated UI designs or hand-drawn sketches separately, lacking the automatic detection capability for the design type. Moreover, studies frequently necessitated complex datasets with bounding box annotations and sophisticated computer vision preprocessing steps, especially within the context of hand-drawn sketches. In this paper, we introduce the novel comprehensive Vision Transformer-based Design-to-Code (ViT-DtC) framework, which tackles image classification and code generation from both generated UI designs and hand-drawn sketches by harnessing the capabilities of Vision Transformers. The proposed ViT-DtC undergoes fine-tuning to classify UI designs into specific categories, including web, iOS, Android, and hand-drawn sketches. Subsequently, the design is directed to the appropriate code generator to generate domain-specific language (DSL) tokens for UI elements based on the identified design type. The experimental results exhibited an exceptional proficiency in accurately classifying all designs. Employing a greedy search strategy, the proposed ViT-DtC framework achieved an average accuracy of 97.28% in generating UI elements on the modified web dataset (without capturing their state or color information). In iOS and Android designs, an average accuracy of 82.4% and 81.1% was achieved, respectively. Remarkably, when extended to handle hand-drawn sketches, an average accuracy of 84.8% was maintained. © 2025 Elsevier B.V., All rights reserved.",Code generation; Computer vision; Hand-drawn sketches; Transformers; User interface (UI) design; Vision Transformer,Article,Final,,Scopus,2-s2.0-105015364191
"Guo, P.; Xue, H.; Ma, J.; Cheng, J.C.P.","Guo, Peizhuo (58942531800); Xue, Huiyuan (58942376400); Ma, Jun J. (56703806400); Cheng, Jack C.P. (57204665849)",58942531800; 58942376400; 56703806400; 57204665849,Advancing BIM information retrieval with an LLM-based query-domain-specific language and library code function alignment system,2025,Automation in Construction,178,,106374,,,0,0,10.1016/j.autcon.2025.106374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009856166&doi=10.1016%2Fj.autcon.2025.106374&partnerID=40&md5=6f292c3382213651016be7f0dbf6d8b2,"The complexity of BIM data calls for efficient automatic information retrieval methods, yet aligning queries with BIM information, especially domain code packages, remains challenging due to intricate data structures, naming conventions, and varying query complexities. Existing techniques require manual training and merely solve the IFC format, while recent exploration of LLMs remains preliminary in BIM automation. This paper introduces Synergistic BIM Aligners, a framework leveraging LLMs to automatically align human queries with BIM domain code functions, thereby assisting subsequent retrieval code generation stages. The framework features eight agents based on hierarchical alignment, hybrid search, and complementary routing strategies. The framework was evaluated using 80 queries from the Revit C# API of varying complexity. The results demonstrated high accuracy (78.75 %) and significantly reduced errors, with our system's 0.30 errors per query on average compared to Standalone Agent's 2.03 errors. These findings highlight the potential of LLM-assisted methods for BIM information retrieval. © 2025 Elsevier B.V., All rights reserved.",Automatic information retrieval; Building information modelling (BIM); Domain specific language and library code; Large language model (LLM); Query understanding; Retrieval-augmented generation (RAG); Revit C# API,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105009856166
"Gao, X.; Zhu, X.; Shobhana, B.V.; Yang, Y.; Krishnamurthy, A.; Mahajan, R.","Gao, Xiangyu (57226640898); Zhu, Xiangfeng (57949236000); Shobhana, Bhavana Vannarth (58043376400); Yang, Yiwei (57223373746); Krishnamurthy, Arvind (7005516119); Mahajan, Ratul (7201500491)",57226640898; 57949236000; 58043376400; 57223373746; 7005516119; 7201500491,Offloading the Tedious Task of Writing eBPF Programs,2025,,,,,63,69,0,0,10.1145/3748355.3748369,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018233495&doi=10.1145%2F3748355.3748369&partnerID=40&md5=2df2329134b44540c18d6dea567f3f7b,"eBPF offers a lightweight method to extend the Linux kernel without modifying the source code in existing modules. However, writing correct and efficient eBPF programs is hard due to its unique verifier constraints and cumbersome debugging processes specific to the kernel execution environment. To tackle such an obstacle, we present a system, SimpleBPF, aiming at offloading the tedious eBPF development task. Developers only need to express their intent in a high-level domain-specific language, while the underlying eBPF code generation is handled automatically. SimpleBPF integrates four key components: a concise DSL, an LLM-based generator, a semantic checker, and an LLM-based optimizer. We use few-shot prompting to build both the code generator and optimizer in SimpleBPF, and evaluate the system on programs written in a representative DSL. The preliminary evaluation result shows that SimpleBPF can generate valid eBPF programs that pass the kernel verifier and exhibit competitive runtime performance. We also outline future directions based on current findings. © 2025 Elsevier B.V., All rights reserved.",Code Generation; eBPF; LLM Inference; Prompt Engineering,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105018233495
"Kalahasty, R.; Yerrapragada, G.; Lee, J.; Gopalakrishnan, K.; Kaur, A.; Muddaloor, P.; Sood, D.; Parikh, C.; Gohri, J.; Panjwani, G.A.R.; Asadimanesh, N.; Ansari, R.A.; Rapolu, S.; Elangovan, P.; Karuppiah, S.S.; Dasari, V.M.; Helgeson, S.A.; Akshintala, V.S.; Poigai Arunachalam, S.P.","Kalahasty, Rohan (57572755500); Yerrapragada, Gayathri (57242950000); Lee, Jieun (60041552800); Gopalakrishnan, Keerthy (58027139900); Kaur, Avneet (57947316500); Muddaloor, Pratyusha (58119325100); Sood, Divyanshi (59196041900); Parikh, Charmy (57222598136); Gohri, Jay (59124264100); Panjwani, Gianeshwaree Alias Rachna (60010872600); Asadimanesh, Naghmeh (57699372000); Ansari, Rabiah Aslam (60010812200); Rapolu, Swetha (57188975229); Elangovan, Poonguzhali (57210075002); Karuppiah, Shiva Sankari (60010872700); Dasari, Vijaya M. (60041552900); Helgeson, Scott A. (57156350200); Akshintala, Venkata Sandeep (55560085500); Poigai Arunachalam, Shivaram Poigai (57194109548)",57572755500; 57242950000; 60041552800; 58027139900; 57947316500; 58119325100; 59196041900; 57222598136; 59124264100; 60010872600; 57699372000; 60010812200; 57188975229; 57210075002; 60010872700; 60041552900; 57156350200; 55560085500; 57194109548,A Novel You Only Listen Once (YOLO) Deep Learning Model for Automatic Prominent Bowel Sounds Detection: Feasibility Study in Healthy Subjects,2025,Sensors,25,15,4735,,,0,1,10.3390/s25154735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013368211&doi=10.3390%2Fs25154735&partnerID=40&md5=870350143055371d6faa4e258a7f88af,"Accurate diagnosis of gastrointestinal (GI) diseases typically requires invasive procedures or imaging studies that pose the risk of various post-procedural complications or involve radiation exposure. Bowel sounds (BSs), though typically described during a GI-focused physical exam, are highly inaccurate and variable, with low clinical value in diagnosis. Interpretation of the acoustic characteristics of BSs, i.e., using a phonoenterogram (PEG), may aid in diagnosing various GI conditions non-invasively. Use of artificial intelligence (AI) and improvements in computational analysis can enhance the use of PEGs in different GI diseases and lead to a non-invasive, cost-effective diagnostic modality that has not been explored before. The purpose of this work was to develop an automated AI model, You Only Listen Once (YOLO), to detect prominent bowel sounds that can enable real-time analysis for future GI disease detection and diagnosis. A total of 110 2-minute PEGs sampled at 44.1 kHz were recorded using the Eko DUO® stethoscope from eight healthy volunteers at two locations, namely, left upper quadrant (LUQ) and right lower quadrant (RLQ) after IRB approval. The datasets were annotated by trained physicians, categorizing BSs as prominent or obscure using version 1.7 of Label Studio Software®. Each BS recording was split up into 375 ms segments with 200 ms overlap for real-time BS detection. Each segment was binned based on whether it contained a prominent BS, resulting in a dataset of 36,149 non-prominent segments and 6435 prominent segments. Our dataset was divided into training, validation, and test sets (60/20/20% split). A 1D-CNN augmented transformer was trained to classify these segments via the input of Mel-frequency cepstral coefficients. The developed AI model achieved area under the receiver operating curve (ROC) of 0.92, accuracy of 86.6%, precision of 86.85%, and recall of 86.08%. This shows that the 1D-CNN augmented transformer with Mel-frequency cepstral coefficients achieved creditable performance metrics, signifying the YOLO model’s capability to classify prominent bowel sounds that can be further analyzed for various GI diseases. This proof-of-concept study in healthy volunteers demonstrates that automated BS detection can pave the way for developing more intuitive and efficient AI-PEG devices that can be trained and utilized to diagnose various GI conditions. To ensure the robustness and generalizability of these findings, further investigations encompassing a broader cohort, inclusive of both healthy and disease states are needed. © 2025 Elsevier B.V., All rights reserved.",artificial intelligence; bowel sounds; CNN; GI diseases; Mel-frequency Cepstral Coefficients (MFCC); phonoenterogram (PEG); You Only Listen Once (YOLO),Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105013368211
"Barone, M.; Romano, A.; Riccio, G.; Postiglione, M.; Moscato, V.","Barone, Mariano (59995557600); Romano, Antonio (16518190800); Riccio, Giuseppe (58982487600); Postiglione, Marco (57219928964); Moscato, Vincenzo (8300789300)",59995557600; 16518190800; 58982487600; 57219928964; 8300789300,Combating Biomedical Misinformation through Multi-modal Claim Detection and Evidence-based Verification,2025,,,,,4025,4029,0,0,10.1145/3726302.3730155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011816085&doi=10.1145%2F3726302.3730155&partnerID=40&md5=76e83adfac7c1484a03b73cc915accb6,"Biomedical misinformation - ranging from misleading social media posts to fake news articles and deepfake videos - is increasingly pervasive across digital platforms, posing significant risks to public health and clinical decision-making. We developed CER, a comprehensive fact-checking system designed specifically for biomedical content. CER integrates specialized components for claim detection, scientific evidence retrieval, and veracity assessment, leveraging both transformer models and large language models to process textual and multimedia content. Unlike existing fact-checking systems that focus solely on structured text, CER can analyze claims from diverse sources including videos and web content through automatic transcription and text extraction. The system interfaces with PubMed for evidence retrieval, employing both sparse and dense retrieval methods to gather relevant scientific literature. Our evaluations on standard benchmarks including HealthFC, BioASQ-7, and SciFact demonstrate that CER achieves state-of-the-art performance, with F1-score improvements compared to existing approaches. To ensure reproducibility and transparency, we release the GitHub repository with the source code, within which you can reach an interactive demonstration of the system published on HuggingFace and a video demonstration of the system https://github.com/PRAISELab-PicusLab/CER-Fact-Checking. © 2025 Elsevier B.V., All rights reserved.",Fact-Checking; Generative AI; Healthcare; Large Language Models,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105011816085
